City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
206,Husavik,IS,66.0449,-17.3389,-5.8,77,0,4.61,clear sky,2021-02-01 03:39:36
207,Moussoro,TD,13.6408,16.4901,67.66,24,0,8.41,clear sky,2021-02-01 03:41:07
208,Warrnambool,AU,-38.3833,142.4833,66.99,74,80,13.71,broken clouds,2021-02-01 03:41:03
209,Coachella,US,33.6803,-116.1739,63.0,39,1,1.36,clear sky,2021-02-01 03:41:07
210,Havre-Saint-Pierre,CA,50.2334,-63.5986,8.6,78,1,6.91,clear sky,2021-02-01 03:41:07
211,Maturin,VE,9.75,-63.1767,69.69,97,92,4.32,overcast clouds,2021-02-01 03:41:08
212,Altamira,BR,-3.2033,-52.2064,73.89,96,88,2.24,overcast clouds,2021-02-01 03:37:42
213,Caravelas,BR,-17.7125,-39.2481,74.59,86,3,5.01,clear sky,2021-02-01 03:41:08
214,Bambous Virieux,MU,-20.3428,57.7575,82.4,74,40,11.5,light rain,2021-02-01 03:39:34
215,Buckeye,US,33.3703,-112.5838,63.0,47,90,6.91,overcast clouds,2021-02-01 03:41:08
216,Marsh Harbour,BS,26.5412,-77.0636,72.18,77,91,18.16,overcast clouds,2021-02-01 03:39:38
217,Belaya Kholunitsa,RU,58.84,50.8528,23.65,96,100,19.13,snow,2021-02-01 03:41:09
218,Olutanga,PH,7.3106,122.8464,81.23,72,100,2.51,overcast clouds,2021-02-01 03:41:09
219,Sindor,RU,62.8629,51.8905,29.28,98,100,11.56,snow,2021-02-01 03:41:09
220,Cabo San Lucas,MX,22.8909,-109.9124,66.0,88,20,1.43,few clouds,2021-02-01 03:38:37
221,Salinas,US,36.6777,-121.6555,53.6,82,1,4.61,clear sky,2021-02-01 03:36:40
222,Carnarvon,AU,-24.8667,113.6333,104.0,17,8,17.27,clear sky,2021-02-01 03:39:48
223,Ceres,US,37.5949,-120.9577,57.0,76,1,3.44,clear sky,2021-02-01 03:41:09
224,Vao,NC,-22.6667,167.4833,75.7,77,100,23.33,overcast clouds,2021-02-01 03:39:35
225,Makakilo City,US,21.3469,-158.0858,80.6,47,1,8.05,clear sky,2021-02-01 03:41:10
226,Salumbar,IN,24.1333,74.05,46.4,66,0,4.27,haze,2021-02-01 03:36:16
227,Monte Alegre De Minas,BR,-18.8706,-48.8808,70.05,84,88,1.68,overcast clouds,2021-02-01 03:41:10
228,Basco,PH,20.4487,121.9702,73.04,78,23,14.14,few clouds,2021-02-01 03:41:10
229,Tecoanapa,MX,16.5167,-98.75,76.08,81,2,4.21,clear sky,2021-02-01 03:41:10
230,Anloga,GH,5.7947,0.8973,82.4,89,20,4.61,few clouds,2021-02-01 03:41:10
231,Karratha,AU,-20.7377,116.8463,78.46,81,100,16.84,overcast clouds,2021-02-01 03:41:10
232,Karanpura,IN,29.1018,75.092,63.25,29,0,4.38,clear sky,2021-02-01 03:41:11
233,Mutoko,ZW,-17.397,32.2268,63.66,100,100,3.0,light rain,2021-02-01 03:41:11
