City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
488,Tukrah,32.5341,20.5791,59.52,65,0,13.67,LY,2021-01-31 05:26:41
489,Kijang,35.2442,129.2139,55.4,18,0,8.05,KR,2021-01-31 05:28:43
490,Malakal,9.5334,31.6605,72.14,23,49,8.99,SS,2021-01-31 05:28:43
491,Flinders,-34.5833,150.8552,70.0,94,98,1.01,AU,2021-01-31 05:25:48
492,Mandera,3.9366,41.867,74.41,60,45,8.93,KE,2021-01-31 05:28:43
493,Mananjary,-21.2167,48.3333,82.11,72,11,3.62,MG,2021-01-31 05:28:43
494,Tubuala,9.5167,-79.0333,75.0,88,20,3.44,PA,2021-01-31 05:28:44
495,Shenjiamen,29.9576,122.298,55.51,77,64,15.12,CN,2021-01-31 05:28:44
496,Weston,26.1004,-80.3998,69.8,49,97,9.22,US,2021-01-31 05:28:44
497,Nizwa,22.9333,57.5333,73.22,28,0,0.98,OM,2021-01-31 05:25:38
